number	type	position	latency	urevent										
1	square	2	218.00875	1										
2	response		267.548136	2										
3	square	2	603.00875	3										
4	response		659.972644	4										
5	square	2	988.00875	5										
6	square	2	1373.00875	6										
7	response		1447.893869	7										
8	square	1	1758.00875	8										
9	response		1807.932163	9										
10	square	1	2143.00875	10										
11	response		2200.996714	11										
12	square	1	2528.00875	12										
13	response		2586.508749	13										
14	square	1	2913.00875	14										
15	response		2962.420127	15										
16	square	1	3298.00875	16										
17	response		3344.987961	17										
18	square	2	3683.00875	18										
19	response		3731.012031	19										
20	square	2	4068.00875	20										
21	response		4111.915751	21										
22	square	2	4453.00875	22										
23	response		4512.532819	23										a
24	square	2	4838.00875	24										
25	response		4897.532819	25										
26	square	2	5223.00875	26										
27	response		5278.436539	27										
28	square	1	5608.00875	28										
29	response		5671.50109	29										
30	square	1	5993.00875	30										
31	response		6037.04376	31										
32	square	1	6378.00875	32										
33	response		6435.996714	33										
34	square	1	6763.00875	34										
35	response		6816.004373	35										
36	square	1	7148.00875	36										
37	response		7196.012031	37										
38	square	2	7533.00875	38										
39	response		7583.444197	39										
40	square	2	7918.00875	40										
41	response		7960.507655	41										
42	square	2	8303.00875	42										
43	response		8353.956233	43										
44	square	2	8688.00875	44										
45	response		8781.583146	45										
46	square	2	9073.00875	46										
47	response		9124.468268	47										
48	square	1	9458.00875	48										
49	response		9514.460609	49										
50	square	1	9843.00875	50										
51	square	1	10228.00875	51										
52	response		10275.5	52										
53	square	1	10613.00875	53										
54	response		10664.9803	54										
55	square	1	10998.00875	55										
56	response		11049.08424	56										
57	square	2	11383.00875	57										
58	response		11428.96389	58										
59	square	2	11768.00875	59										
60	response		11818.4442	60										
61	square	2	12153.00875	61										
62	response		12198.96389	62										
63	square	2	12538.00875	63										
64	response		12592.54048	64										
65	square	2	12923.00875	65										
66	response		12975.49234	66										
67	square	1	13308.00875	67										
68	response		13355.5	68										
69	square	1	13693.00875	69										
70	response		13741.01203	70										
71	square	1	14078.00875	71										
72	response		14135.48468	72										
73	square	1	14463.00875	73										
74	response		14517.54048	74										
75	square	1	14848.00875	75										
76	response		14896.01203	76										
77	square	1	15233.00875	77										
78	response		15278.96389	78										
79	square	1	15618.00875	79										
80	response		15669.46827	80										
81	square	1	16003.00875	81										
82	response		16057.54048	82										
83	square	1	16388.00875	83										
84	response		16439.08424	84										
85	square	1	16773.00875	85										
86	response		16824.46827	86										
87	square	2	17158.00875	87										
88	square	2	17543.00875	88										
89	response		17599.58862	89										
90	square	2	17928.00875	90										
91	response		17978.06017	91										
92	square	2	18313.00875	92										
93	response		18369.97264	93										
94	square	2	18698.00875	94										
95	response		18756.50875	95										
96	square	1	19083.00875	96										
97	response		19137.54048	97										
98	square	1	19468.00875	98										
99	response		19516.52407	99										
100	square	1	19853.00875	100										
101	response		19902.42013	101										
102	square	1	20238.00875	102										
103	response		20282.93982	103										
104	square	1	20623.00875	104										
105	response		20674.9803	105										
106	square	2	21008.00875	106										
107	response		21053.06783	107										
108	square	2	21393.00875	108										
109	response		21446.51641	109										
110	square	2	21778.00875	110										
111	response		21826.01203	111										
112	square	2	22163.00875	112										
113	response		22226.50109	113										
114	square	2	22548.00875	114										
115	response		22605.48468	115										
116	square	2	22933.00875	116										
117	response		22993.04485	117										
118	square	2	23318.00875	118										
119	response		23372.54048	119										
120	square	2	23703.00875	120										
121	response		23767.90919	121										
122	square	2	24088.00875	122										
123	response		24139.9803	123										
124	square	2	24473.00875	124										
125	response		24535.47702	125										
126	square	1	24858.00875	126										
127	response		24903.57987	127										
128	square	1	25243.00875	128										
129	response		25307.52516	129										
130	square	1	25628.00875	130										
131	response		25678.95623	131										
132	square	1	26013.00875	132										
133	response		26070.48468	133										
134	square	1	26398.00875	134										
135	response		26452.9245	135										
136	square	1	26783.00875	136										
137	square	1	27168.00875	137										
138	response		27216.52407	138										
139	square	1	27553.00875	139										
140	response		27603.06017	140										
141	square	1	27938.00875	141										
142	response		27990.49234	142										
143	square	1	28323.00875	143										
144	response		28368.06783	144										
145	square	2	28708.00875	145										
146	square	2	29093.00875	146										
147	response		29148.94857	147										
148	square	2	29478.00875	148										
149	response		29532.02844	149										
150	square	2	29863.00875	150										
151	response		29918.43654	151										
152	square	2	30248.00875	152										
153	response		30305.48468	153										
