subject_id,before_or_after,n_components,remove_ic,note
1,before,32,"0,1,3,4,5,6,7,8,9,10,16,17,22,23,24,25,26,27,28,30",
1,after,32,"0,1,2,5,7,8,9,10,11,17,18,19,20,22,29,30,31",
2,before,32,"0,1,2,4,7,8,13,14,16,21,28,30,31",
2,after,32,"0,1,3,4,8,9,10,13,16,18,23,28",
3,before,32,"0,1,2,6,7,9,10,14,16,17,18,19,20,22,24,25,27,30",large detour
3,after,32,"0,1,3,4,5,6,8,9,10,11,15,16,18,19,20,21,22,23,24,26,27,28,29,30,31",
4,before,32,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,26,27,28,30",
4,after,32,"0,1,2,3,4,5,6,9,10,11,12,14,15,16,17,18,19,21,23,24,27,28,30,31",
5,before,32,"0,1,3,4,6,7,10,12,13,14,16,18,24,25,27,30,31",
5,after,32,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,19,21,28,29","peak removed, details lost"
6,before,32,"0,1,4,6,7,8,9,11,12,14,24,25,27,29,30,31",
6,after,32,"0,1,2,4,5,10,11,14,15,16,20,26,29,30,31",
7,before,32,"0,1,2,3,6,8,9,10,11,13,14,16,19,20,21,26,27,28,29,30",
7,after,32,"0,1,2,3,4,6,7,8,9,14,15,16,19,22,25,26,28,30,31",keep var 8-10
8,before,32,"0,1,6,16,18,21,23,24,28,29,30",
8,after,32,"0,1,2,3,5,6,12,14,18,23,25,26,27",
9,before,32,"0,1,2,3,4,7,8,10,13,15,17,18,21,22,23,24,26,28,30",peaks removed
9,after,32,"0,1,2,7,8,18,20,21,23,24,26,27,29,30,31",
10,before,32,"0,1,2,3,5,6,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,26,27,29,30,31",
10,after,32,"0,1,2,4,5,6,7,8,9,12,13,14,15,16,18,19,20,22,24,28,29",
11,before,32,"0,1,2,3,5,9,13,17,19,21,23,25,27",
11,after,32,"0,1,2,3,9,11,12,13,15,16,17,19,21,22,23,25,26,27,28,31",large detour
12,before,32,"0,1,2,3,4,5,6,7,8,9,20,22,23,26,28,30",
12,after,32,"0,2,4,5,6,9,11,13,14,16,17,19,20,22,24,25,26",
13,before,32,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,19,21,22,23,28,30",large detour
13,after,32,"0,1,2,4,6,7,8,9,10,12,13,14,18,19,20,22,25,28,29",large noise
14,before,32,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,27,28,29",broken
14,after,32,"0,1,2,3,4,5,6,8,9,10,11,12,13,16,18,19,21,22,24,27,28,29,30",
15,before,32,"0,1,2,3,4,5,6,8,9,10,11,12,13,15,17,19,21,23,24,29,30",
15,after,32,"0,1,2,3,4,5,7,9,10,11,12,14,15,16,21,22,24,26,27,28,30,31",
16,before,32,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,22,23,25,27",
16,after,32,"0,1,5,8,9,12,13,14,16,17,18,21,22,23,24,25,26,27,28,30,31",
17,before,32,"0,1,2,3,5,6,8,9,10,12,14,17,18,20,21,24,25,29,30",
17,after,32,"0,1,2,3,4,7,14,15,18,19,24,29,30,31",
18,before,32,"0,1,2,3,4,5,7,8,9,10,14,15,16,17,18,19,22,23,24,25,26,27,29,30",large detour
18,after,32,"0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,31",
